[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:41:25,511 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
[Quantification.py] 2024-01-29 13:44:28,290 - [INFO]: New breakdown created: Ni01BEA_265_24h_001_Breakdown_20240129.xlsx
