[Quantification.py] 2023-12-28 23:54:18,954 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
[Quantification.py] 2023-12-28 23:55:48,419 - [INFO]: New breakdown created: MBPR041_01_Breakdown_20231228.xlsx
