FID RT,FID Area,MS RT,Compound Name,Formula,Match Factor,Compound Source,Compound Type Abbreviation
13.043,0.4006,13.0388,"Benzene, 4-ethenyl-1,2-dimethyl-",C10H12,63.11135594,Manual assignment based on HydroUI,A
13.14,1.1496,13.1365,"Undecane, 4,8-dimethyl-",C13H28,92.03181795,Manual assignment based on HydroUI,B
13.238,0.2446,13.241,"Benzene, (1-methylbutyl)-",C11H16,75.71394954,Manual assignment based on HydroUI,A
13.349,1.1109,13.3537,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,83.57686533,Manual assignment based on HydroUI,A
13.418,2.3003,13.4139,Dodecane,C12H26,93.3322214,Manual assignment based on HydroUI,L
13.461,0.24,13.4593,"Benzene, pentamethyl-",C11H16,63.95943471,Manual assignment based on HydroUI,A
13.51,3.5484,13.5045,"Benzene, 1,2,4,5-tetramethyl-",C10H14,96.78800533,Manual assignment based on HydroUI,A
13.582,3.8363,13.5853,"Nonane, 5-methyl-5-propyl-",C13H28,89.53521353,Manual assignment based on HydroUI,B
13.691,1.2164,13.6872,"Undecane, 3-methyl-",C12H26,91.50220251,Manual assignment based on HydroUI,B
13.801,0.4844,13.795,"Decane, 3,8-dimethyl-",C12H26,89.3975994,Manual assignment based on HydroUI,B
13.94,1.2706,13.9371,"Benzene, 1,3-diethyl-5-methyl-",C11H16,91.98080689,Manual assignment based on HydroUI,A
14.024,1.1081,14.0218,Dodecane,C12H26,90.11716733,Manual assignment based on HydroUI,L
14.09,1.6679,14.0861,"Undecane, 4-methyl-",C12H26,76.24155936,Manual assignment based on HydroUI,B
14.152,1.2681,14.1496,"Nonane, 5-(2-methylpropyl)-",C13H28,79.63899893,Manual assignment based on HydroUI,B
14.197,0.344,,No match,,,Manual assignment based on HydroUI,
14.261,1.1606,14.2569,"Undecane, 3-methyl-",C12H26,94.13244127,Manual assignment based on HydroUI,B
14.335,0.7385,14.3294,"Benzene, 1,3-diethyl-5-methyl-",C11H16,62.77451596,Manual assignment based on HydroUI,A
14.425,1.2582,14.4217,"Benzene, 1-methyl-4-(1-methylpropyl)-",C11H16,89.1158415,Manual assignment based on HydroUI,A
14.581,0.3574,14.5776,"1H-Indene, 2,3-dihydro-4,7-dimethyl-",C11H14,67.75731747,Manual assignment based on HydroUI,A
14.653,1.0529,14.6538,"1H-Indene, 2,3-dihydro-1,1-dimethyl-",C11H14,82.79995755,Manual assignment based on HydroUI,A
14.696,1.9315,14.6951,Dodecane,C12H26,94.07605801,Manual assignment based on HydroUI,L
14.784,1.1726,14.7809,"Benzene, 1,3-dimethyl-5-(1-methylethyl)-",C11H16,84.59355237,Manual assignment based on HydroUI,A
14.823,0.9811,14.8227,"1H-Indene, 2,3-dihydro-1,1-dimethyl-",C11H14,84.19630826,Manual assignment based on HydroUI,E
14.866,0.1092,14.8574,"Dodecane, 5-methyl-",C13H28,59.55793963,Manual assignment based on HydroUI,B
14.91,0.6626,14.9062,"Undecane, 2,5-dimethyl-",C13H28,90.42097505,Manual assignment based on HydroUI,B
14.965,1.102,14.9626,"Benzene, 2,4-dimethyl-1-(1-methylethyl)-",C11H16,85.72274635,Manual assignment based on HydroUI,A
15.029,0.9498,15.0242,"Undecane, 4,7-dimethyl-",C13H28,89.05424803,Manual assignment based on HydroUI,B
15.125,0.8428,15.1217,"Undecane, 3,8-dimethyl-",C13H28,84.28684428,Manual assignment based on HydroUI,B
15.199,1.292,15.2012,"Dodecane, 3-methyl-",C13H28,71.9677403,Manual assignment based on HydroUI,B
15.303,0.1779,15.2979,"Dodecane, 3-methyl-",C13H28,65.56940318,Manual assignment based on HydroUI,B
