,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
132,12.3954,"Benzene, 1-methyl-4-propyl-",C10H14,78.50370313,"Benzeneethanamine, N-(2-phenylethyl)-",C16H19N,80.11527325,"Benzeneethanamine, N-(2-phenylethyl)-",C16H19N,73.15079447
131,12.4247,"Heptane, 4-ethyl-",C9H20,84.94491326,"Heptane, 4-ethyl-",C9H20,84.94491326,"Hexane, 3-ethyl-3-methyl-",C9H20,77.83842987
130,12.478,"Undecane, 4,5-dimethyl-",C13H28,82.30658471,"Undecane, 4,5-dimethyl-",C13H28,82.30658471,"Malonic acid, 3-methylbutyl octyl ester",C16H30O4,67.4009418
129,12.5139,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.94909865,"Benzene, 1,2,4,5-tetramethyl-",C10H14,87.94909865,"Benzene, 1-methyl-3-(1-methylethyl)-",C10H14,71.10978633
128,12.54,"Octane, 3,6-dimethyl-",C10H22,82.96177666,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,84.12301774,3-Ethyl-3-methylheptane,C10H22,79.28918744
127,12.653,"Decane, 3-methyl-",C11H24,88.86021937,"Decane, 3-methyl-",C11H24,88.86021937,"Decane, 2,2,6-trimethyl-",C13H28,82.6134585
126,12.8469,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,85.75393483,"Benzene, 1-ethyl-2,4-dimethyl-",C10H14,85.75393483,"Benzene, 1-methyl-2-propyl-",C10H14,70.20804869
125,12.8776,"o-Toluic acid, tridec-2-ynyl ester",C21H30O2,76.56199703,"o-Toluic acid, tridec-2-ynyl ester",C21H30O2,76.56199703,"Pyrazine, isopropenyl-",C7H8N2,65.2226828
124,12.9882,"Benzene, 1,2,4,5-tetramethyl-",C10H14,88.66330169,"Benzene, 1,2,4,5-tetramethyl-",C10H14,88.66330169,"1-Pentanone, 1-(4-methylphenyl)-",C12H16O,81.76583112
123,13.3482,"Benzene, 2-ethyl-1,4-dimethyl-",C10H14,61.89922949,"Glutaric acid, di(1-phenylpropyl) ester",C23H28O4,67.79637622,Chrysantenyl 2-methuylbutanoate,C15H24O2,61.84631932
