FID RT (min),FID Signal,,MS RT (min),MS Signal
0.35332605,3.460485333,,1.613,0.754358892
0.354159383,3.461034411,,1.617,0.753311685
0.354992717,3.4615362,,1.62,0.749532317
0.35582605,3.460521289,,1.624,0.746963216
0.356659383,3.458329544,,1.627,0.747347313
0.357492717,3.457316244,,1.631,0.751597743
0.35832605,3.456444533,,1.635,0.760566041
0.359159383,3.456449833,,1.638,0.770255427
0.359992717,3.456115078,,1.642,0.769639423
0.36082605,3.457669344,,1.645,0.758040424
0.361659383,3.461703167,,1.649,0.748655417
0.362492717,3.463898667,,1.653,0.746763921
0.36332605,3.460551933,,1.656,0.751184658
0.364159383,3.4579454,,1.66,0.760591406
0.364992717,3.453939733,,1.663,0.766320246
0.36582605,3.454916056,,1.667,0.760058744
0.366659383,3.456290656,,1.671,0.74859744
0.367492717,3.4585986,,1.674,0.748003177
0.36832605,3.457629511,,1.678,0.755677866
0.369159383,3.4545979,,1.681,0.754195832
0.369992717,3.452482922,,1.685,0.744770966
0.37082605,3.451329267,,1.688,0.744760095
0.371659383,3.453311367,,1.692,0.753721146
0.372492717,3.455561622,,1.696,0.757685315
0.37332605,3.457328811,,1.699,0.755688736
0.374159383,3.456050522,,1.703,0.751398448
0.374992717,3.456707267,,1.706,0.744934026
0.37582605,3.456962778,,1.71,0.746568249
0.376659383,3.456288322,,1.714,0.760692866
0.377492717,3.452530433,,1.717,0.771309881
0.37832605,3.450308733,,1.721,0.768469014
0.379159383,3.450929844,,1.724,0.762504643
0.379992717,3.452617178,,1.728,0.762109676
0.38082605,3.452653956,,1.731,0.764378021
0.381659383,3.450852511,,1.735,0.764443245
0.382492717,3.450908856,,1.739,0.760971879
0.38332605,3.452933856,,1.742,0.752681186
0.384159383,3.456361644,,1.746,0.741759792
0.384992717,3.457952889,,1.749,0.733479969
0.38582605,3.459783611,,1.753,0.729686107
0.386659383,3.4600834,,1.757,0.728830948
0.387492717,3.459229189,,1.76,0.731592097
0.38832605,3.456377878,,1.764,0.738810218
0.389159383,3.454471722,,1.767,0.741212635
0.389992717,3.454630078,,1.771,0.728349015
0.39082605,3.455665467,,1.775,0.711945183
0.391659383,3.454230633,,1.778,0.710629832
0.392492717,3.453448111,,1.782,0.722341161
